Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	1.7879    	0.001000	0.987438  	0.001000	1.1225    	0.001000	1.1225    	0.001000	1.12257   	0.001000	0.556434  	0.001000	0.431005  	
0.002000	1.95347   	0.002000	1.07795   	0.002000	1.23769   	0.002000	1.23769   	0.002000	1.23774   	0.002000	0.721605  	0.002000	0.356343  	
0.005000	2.36616   	0.005000	1.2583    	0.005000	1.45539   	0.005000	1.45539   	0.005000	1.45542   	0.005000	1.01748   	0.005000	0.24082   	
0.008000	2.69336   	0.008000	1.40042   	0.008000	1.61858   	0.008000	1.61858   	0.008000	1.6186    	0.008000	1.21359   	0.008000	0.186833  	
0.010000	2.88085   	0.010000	1.48341   	0.010000	1.71194   	0.010000	1.71194   	0.010000	1.71196   	0.010000	1.31951   	0.010000	0.163898  	
0.015000	3.35631   	0.015000	1.70938   	0.015000	1.94429   	0.015000	1.94429   	0.015000	1.9443    	0.015000	1.58211   	0.015000	0.127269  	
0.020000	3.73619   	0.020000	2.08226   	0.020000	2.27661   	0.020000	2.27661   	0.020000	2.27662   	0.020000	1.97699   	0.020000	0.105267  	
0.025000	4.15539   	0.025000	2.442     	0.025000	2.60456   	0.025000	2.60456   	0.025000	2.60457   	0.025000	2.35162   	0.025000	0.0903847 	
0.030000	4.51069   	0.030000	2.78331   	0.030000	2.88785   	0.030000	2.88785   	0.030000	2.88786   	0.030000	2.70376   	0.030000	0.0795564 	
0.035000	4.80279   	0.035000	3.1016    	0.035000	3.15149   	0.035000	3.15149   	0.035000	3.1515    	0.035000	3.03097   	0.035000	0.0706263 	
0.040000	5.033     	0.040000	3.39564   	0.040000	3.39672   	0.040000	3.39672   	0.040000	3.39672   	0.040000	3.33151   	0.040000	0.0641368 	
